,sID,mean_IKI,sd_IKI,cv_IKI,mean_RT,sd_RT,cv_RT,mean_deltaiki,total_deltaiki,mean_deltart,total_error
0,s009,128.7312850216604,66.84599210496403,0.5189877987027227,632.4008681087811,65.97727747672323,0.1041031643576873,-0.0026255076717577115,-0.008895107864119695,-0.012845551443975776,16
1,s020,175.61179905882238,98.92723967450266,0.5629976492749493,1046.5966744075697,236.03464983709696,0.2249908369665005,1.3665669222150586e-05,0.012050243209811063,-0.02370758663101225,45
2,s175,190.487745274669,103.46280644716921,0.5428320086131038,813.9527357301166,91.39244256058333,0.11202082169806706,-0.003019850128286152,-0.022142096171148474,-0.004026171376932345,60
3,s176,203.99380488749802,85.07590561764556,0.4168143897381621,910.5629304545635,169.04171177010642,0.18522288010080826,-0.005353760299068012,-0.008549395346266852,-0.021531991326197868,50
4,s178,147.21918717668706,79.76699401950899,0.541517470239175,803.952021994224,137.58890313258004,0.1707495099762163,2.773278536445652e-05,0.0022061386884286434,-0.008051972635663473,59
5,s180,131.99975472308,74.91353934448696,0.5672096575609323,528.3953010583505,100.41191863669549,0.18960525697277147,-0.003991517583865158,-0.014882629488352528,0.00042629066329072943,39
6,s181,116.28366393299945,56.47684703867877,0.48542106655508954,760.4440888697221,148.89584113408452,0.19538054245821457,-0.003421246549117665,-0.018278329399732975,-0.018415605539620884,22
7,s182,168.53283311699565,90.23634204405413,0.535125382644034,829.6152040561558,216.29356782098947,0.2601355172188367,-0.004725394375609107,-0.03217508134266903,-0.03560577826319605,31
8,s183,160.10488958521697,69.90161799629976,0.4363386281239288,807.6440051339697,128.45352453337367,0.15866625662336173,-0.0024829646817709464,-0.014830498078650087,-0.015546814735133113,82
9,s189,173.52469616433427,88.30825220024354,0.5086392214995867,774.5530136004563,122.58221300142135,0.15792621947917332,-0.007143040115907853,-0.020965573779846484,-0.007821132659578237,7
10,s190,161.8824936365669,69.19248397424681,0.4271976799250218,691.8638068610423,92.34059027368647,0.13318335896957056,-0.0027140010307549448,-0.016169178828325432,-0.010697021276496773,15
