,sID,sd_diff,cv_diff
0,s009,-27.850023673928582,0.047155715111127205
1,s020,-90.92877954871418,-0.2666420167838587
2,s175,-33.35886378653555,-0.016065342258149817
3,s176,-40.55597981110639,-0.1035521398061855
4,s178,-41.601007293872755,-0.11517938879296458
5,s180,-28.49098431550233,0.03640288805210157
6,s181,-41.023076944939405,-0.12725297101617655
7,s182,-54.390005257425464,-0.06958850144219042
8,s183,-22.79927133477124,0.001542878989100882
9,s189,-56.522478188989986,-0.13036306016462074
10,s190,-13.859847765152026,0.024600549393064164
11,s198,-32.21692332128298,0.006070319721551476
12,s207,-74.0924739820652,-0.21446986270081264
13,s209,-41.02039324838841,-0.13268715561898392
14,s210,-92.63659889370503,-0.3312470795574193
15,s212,-34.005794666514056,-0.10466264598440334
16,s217,-22.218058205152637,-0.049151719554621665
17,s219,-53.5135623692544,-0.07617828826894973
18,s224,6.027616755435119,0.1289072766817202
19,s240,-19.183273421453293,0.00995904615018467
20,s254,-54.970781563150695,-0.037266117320517544
21,s261,-21.999200868508424,-0.0415767431984434
22,s262,-39.950474679251265,-0.1431651678736124
23,s263,-57.879959947180524,-0.08437473073148505
24,s267,-27.402811218484047,0.17041341803330823
25,s276,-53.433512322413634,-0.15081820707155813
26,s278,-96.49621249176124,-0.21004723645688061
27,s279,-40.70946764390969,-0.11612478958503286
28,s282,-52.417653926502936,-0.06826194914389505
29,s283,-53.081414421492816,-0.16063940297788926
30,s286,-19.146431505270314,-0.0466035431405149
31,s302,-66.58252218425841,-0.1709277533059741
32,s304,-39.8290649067431,-0.19795397989448849
33,s305,-33.52240491141649,-0.13954489427336758
34,s306,-42.08285753308497,-0.1380228136178498
35,s309,-97.86456255788751,-0.18095871603481034
36,s311,-29.15980869291576,-0.10613138242938358
37,s313,-52.8315894016992,-0.08427211625984193
38,s336,-42.622956186921776,-0.24786547315444607
39,s344,-67.54638420546513,-0.047750540678235254
40,s345,-25.249384629524666,-0.12158405535179706
41,s347,-42.54093227484029,-0.022478095158873113
42,s348,-47.066896604348656,-0.0514703442608464
43,s349,-32.63533396454689,0.008310558015019676
44,s350,-54.01761470083497,-0.1363971373290327
45,s351,-42.92826269700764,-0.12018724743463088
46,s352,-47.637046610755796,-0.1878925586616691
